Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C13, C14, C15, C17, C19, C23, C3, C5, C7",1206,11,1uF,C318771
"C10, C11",0805,2,2.7nF,
"C16, C2, C20, C24, C25, C27, C4",1206,7,.1uF,
C18,CP_Radial_D8.0mm_P3.50mm,1,10uF,C2168319
"C21, C22",1206,2,22uF,
C26,1206,1,2.2nf,
C6,1206,1,2.2uF,
"C8, C9",1206,2,4.7uF,
D1,SOT-143,1,SP0503BAHT,C7074
D2,LED_D5.0mm,1,GRN,
D3,LED_D5.0mm,1,RED,
"D4, D5",D_SOD-323_HandSoldering,2,"D,Schottky,IEC",C2762697
D6,LED_D5.0mm,1,2V YLW,
IC1,SOP65P640X120-16N,1,WM8524CGEDT,C146242
IC2,QFN50P300X300X80-17N,1,MAX97220AETE+T,C2682711
IC3,SOP50P490X110-11N,1,BQ24093DGQR,C2871988
IC4,SOIC127P600X170-9N,1,TPS259631DDAR,C2155778
IC5,SOIC127P605X175-9N,1,XB8089D,C79928
"J1, J2",UJ20CHGMSMT2BP16TR,2,USB_C_Receptacle_USB2.0_16P,
J3,ACJSMHOM,1,ACJS-MHOM,
J4,SJ13554NG,1,SJ1-3554NG,
L1,SDCH1V50404R7MR,1,4.7uH,
"R1, R2",1206,2,15k 1%,
R10,1206,1,47k,
"R11, R12",1206,2,4.7k,
"R13, R14, R7, R8",1206,4,5.1k,
"R15, R16, R19, R20, R21, R22, R23, R24, R25, R29, R30",1206,11,10k,C871997
"R17, R18",1206,2,560,C872823
"R26, R32",1206,2,1k,
R27,1206,1,2k,
"R28, R31",1206,2,1.5k,
"R3, R4",1206,2,10k 1%,
R33,1206,1,590k 1%,
R34,1206,1,124k 1%,
R35,1206,1,274k 1%,
R36,1206,1,909 1%,
R37,1206,1,300,
R5,1206,1,8.25k 1%,
R6,1206,1,100k 1%,
R9,1206,1,24k,
"SW1, SW2, SW3, SW4, SW5",ZMA00A150L04RC,5,SW_SPST,
SW6,400AWMSP1R1BLKM6QE,1,SW_PWR,
TP1,PinHeader_1x01_P2.00mm_Vertical,1,GPIO.10,
TP2,PinHeader_1x01_P2.00mm_Vertical,1,I2C_SCL,
TP3,PinHeader_1x01_P2.00mm_Vertical,1,I2C_SDA,
U1,QFN-32-1EP_5x5mm_P0.5mm_EP3.3x3.3mm,1,CP2615-xx-xM,C1521596
U2,TSOT-23-6,1,AP63205WU,C2071056
U3,1049,1,2x 18650 Battery,
