Designator,Mid X,Mid Y,Rotation,Layer
C1,70.75,-83.4375,90.0,top
C10,99.25,-55.4625,90.0,bottom
C11,96.25,-65.2375,270.0,bottom
C12,91.9375,-58.0,180.0,bottom
C13,115.3125,-57.5,180.0,bottom
C14,88.0625,-62.0,180.0,bottom
C15,109.75,-61.9375,270.0,bottom
C16,95.3125,-60.75,0.0,bottom
C17,107.0,-65.7625,270.0,bottom
C18,181.097349,-80.0,0.0,top
C19,119.0625,-88.8,180.0,bottom
C2,74.425,-83.4375,90.0,top
C20,168.9375,-83.5,0.0,bottom
C21,170.5,-99.9375,270.0,bottom
C22,166.5,-99.9375,270.0,bottom
C23,118.5,-82.2375,270.0,bottom
C24,145.951398,-82.430726,180.0,bottom
C25,125.0625,-77.7875,0.0,bottom
C26,126.5,-88.9375,270.0,bottom
C27,134.9375,-71.5,0.0,bottom
C3,83.5625,-74.375,180.0,top
C4,83.5625,-70.625,180.0,top
C5,104.25,-82.6875,270.0,bottom
C6,89.75,-79.4375,90.0,bottom
C7,106.75,-78.9375,270.0,bottom
C8,108.0,-84.1875,90.0,bottom
C9,89.75,-74.1875,270.0,bottom
D1,70.25,-93.0,0.0,bottom
D2,181.0,-55.0,0.0,top
D3,181.0,-63.0,0.0,top
D4,131.0,-76.75,90.0,bottom
D5,134.75,-74.5,0.0,bottom
D6,181.0,-70.94,0.0,top
H1,60.0,-103.0,0.0,top
H2,161.0,-103.0,0.0,top
H3,171.0,-54.0,0.0,top
H4,72.5,-72.0,0.0,top
IC1,98.0,-83.5,0.0,bottom
IC2,103.25,-60.75,0.0,bottom
IC3,114.5,-82.8,90.0,bottom
IC4,130.5,-82.5,180.0,bottom
IC5,151.307274,-86.434274,0.0,bottom
J1,60.3375,-91.0,270.0,top
J2,74.2,-102.8375,0.0,top
J3,70.35,-59.285,180.0,top
J4,61.5,-75.4375,90.0,top
L1,168.5,-93.0,270.0,bottom
R1,97.55,-103.0,180.0,bottom
R10,77.95,-78.0,0.0,bottom
R11,74.5,-82.95,270.0,bottom
R12,83.55,-89.5,0.0,bottom
R13,73.45,-96.175,180.0,top
R14,78.45,-96.175,0.0,top
R15,104.45,-88.75,0.0,bottom
R16,104.45,-92.06,0.0,bottom
R17,101.5,-54.95,270.0,bottom
R18,98.75,-65.75,90.0,bottom
R19,106.5,-54.95,270.0,bottom
R2,112.45,-103.0,180.0,bottom
R20,103.75,-65.75,90.0,bottom
R21,104.0,-54.95,90.0,bottom
R22,101.25,-65.75,90.0,bottom
R23,97.0,-54.95,90.0,bottom
R24,94.0,-65.75,270.0,bottom
R25,110.3125,-57.5,0.0,bottom
R26,114.0,-92.5,0.0,bottom
R27,112.05,-88.8,0.0,bottom
R28,173.55,-62.0,0.0,bottom
R29,117.05,-77.531224,0.0,bottom
R3,127.55,-103.0,180.0,bottom
R30,111.05,-78.5,0.0,bottom
R31,173.55,-66.0,180.0,bottom
R32,144.463898,-86.930726,180.0,bottom
R33,137.55,-85.0,180.0,bottom
R34,132.033334,-88.0,0.0,bottom
R35,132.05,-91.5,180.0,bottom
R36,139.1,-80.0,0.0,bottom
R37,175.5,-74.0,0.0,bottom
R4,142.55,-103.0,180.0,bottom
R5,153.0,-103.0,270.0,bottom
R6,87.0,-103.0,90.0,bottom
R7,67.0,-93.45,270.0,top
R8,67.0,-87.45,90.0,top
R9,78.05,-74.5,180.0,bottom
SW1,90.08,-99.0,0.0,top
SW2,105.08,-99.0,0.0,top
SW3,120.08,-99.0,0.0,top
SW4,135.08,-99.0,0.0,top
SW5,150.08,-99.0,0.0,top
SW6,177.46,-100.54,90.0,top
TP1,84.25,-78.75,0.0,top
TP2,84.25,-81.875,0.0,top
TP3,84.25,-85.0,0.0,top
U1,76.4375,-89.25,270.0,bottom
U2,170.1375,-87.5,180.0,bottom
U3,125.9975,-73.89125,0.0,top
